Compound,Generic Name,Trade name,Combination,Therapeutic area,Project type,Indication,Phase,Filing date,Partner,Managed by,Description
"RG7716","faricimab","Vabysmo","","Ophthalmology","ai","neovascular age related macular degeneration (wAMD)","Approved","","","Roche Late Stage Product Development","Vabysmo (faricimab, RG7716) is a bispecific antibody developed with CrossMab technology to tightly bind VEGF-A on one arm and angiopoietin (Ang)-2 on the other arm."
"RG6330","divarasib (KRAS G12C)","","plus combinations","Oncology/Hematology","ai","solid tumors","Phase 1","","","Roche Late Stage Product Development","Divarasib (KRAS G12C, GDC-6036, RG6330) is an irreversible covalent inhibitor of the KRAS G12C mutant protein, resulting in a locked inactive conformation. KRAS is a frequently mutated oncogene, occurring in more than 25% of all cancers."
"RG6289","nivegacetor (gamma-secretase modulator)","","","Neuroscience","nme","Alzheimer's disease (AD)","Phase 2","","","Pharma Research and Early Development (pRED)",""
"RG6919","B7H3-ADC","","","Oncology/Hematology","nme","solid tumors","Phase 1","","Medilink","","B7H3-targeting ADC in solid tumors"
"CHU","MINT91","","","Oncology/Hematology","nme","solid tumors","Phase 1","","Chugai","Chugai",""
"RG6299","sefaxersen (ASO factor B)","","","Immunology","nme","IgA-nephropathy","Phase 3","2027","Ionis","Roche Late Stage Product Development","Sefaxersen (ASO factor B) is an antisense oligonucleotide that inhibits complement factor B gene expression by binding with factor B mRNA. ASO factor B is being studied for the treatment of IgA nephropathy as well as for the treatment of geographic atrophy."
"RG6615","zilebesiran","","","Cardiovascular, Renal & Metabolism","nme","hypertension","Phase 3","2029+","Alnylam Pharmaceuticals","Partner managed",""
"RG7716","faricimab","Vabysmo","","Ophthalmology","ai","Myopic choriodial neovascularization  (CNV)","Phase 3","2027","","Roche Late Stage Product Development","Vabysmo (faricimab, RG7716) is a bispecific antibody developed with CrossMab technology to tightly bind VEGF-A on one arm and angiopoietin (Ang)-2 on the other arm."
"RG7716","faricimab","Vabysmo","","Ophthalmology","nme","diabetic macular edema (DME)","Approved","","","Roche Late Stage Product Development","Vabysmo (faricimab, RG7716) is a bispecific antibody developed with CrossMab technology to tightly bind VEGF-A on one arm and angiopoietin (Ang)-2 on the other arm."
"RG6913","NME","","","Ophthalmology","nme","DME","Phase 1","","","Pharma Research and Early Development (pRED)",""
"RG6171","giredestrant","","","Oncology/Hematology","ai","solid tumors","Phase 1","","","Roche Late Stage Product Development","Giredestrant (RG6171, GDC-9545) is a selective estrogen receptor degrader (SERD) that is designed to bind to the estrogen receptor to limit its function.  In addition, when SERDs bind to the estrogen receptor, they may be able to change the shape of the receptor in such a way that the cell eliminates it by degradation."
"RG6596","HER2 TKI","","","Oncology/Hematology","nme","HER2-positive breast cancer (HER-2+ BC)","Phase 1","","Zion Pharma","Roche Late Stage Product Development","HER2 TKI (ZN-A-1041, RG6596) is an orally administered selective tyrosine kinase inhibitor (TKI) that targets the human epidermal growth factor receptor 2 (HER2)."
"RG6013","emicizumab","Hemlibra","","Oncology/Hematology","ai","Type 3 VWD","Phase 3","2027","Chugai","Roche Late Stage Product Development","Hemlibra (emicizumab, RG6013, ACE910) is a bispecific antibody that mimics coagulation factor VIII, an essential blood clotting protein."
"RG6171","giredestrant","","plus everolimus","Oncology/Hematology","nme","post-CDK4/6 ER+/HER2- BC","Filed","2025","","Roche Late Stage Product Development","Giredestrant (RG6171, GDC-9545) is a selective estrogen receptor degrader (SERD) that is designed to bind to the estrogen receptor to limit its function.  In addition, when SERDs bind to the estrogen receptor, they may be able to change the shape of the receptor in such a way that the cell eliminates it by degradation."
