asset_id,asset_type,data_title,data_asset_focus_area,data_asset_type,data_asset_target,data_asset_tags,data_asset_indication,data_asset_description,data_asset_phases,indication,region,phase_status_class,phase_status_label
abbv-142,pharmaceutical,ABBV-142,Immunology,Biologic,LPAR1,"Biologic,Immunology,Pharmaceutical,LPAR1",Idiopathic Pulmonary Fibrosis,"ABBV-142 is a lysophosphatidic acid receptor 1 (LPAR1) antagonist antibody being investigated for the treatment of idiopathic pulmonary fibrosis (IPF). LPAR1 contributes to the underlying pathology of fibrotic diseases and amplifies inflammation and fibrosis in the lungs, among other tissues. Inhibition of LPAR1 may address systemic sclerosis (SSc) and IPF pathogenesis.",Phase 1,Idiopathic Pulmonary Fibrosis,N / A,phase1,phase1
abbv-166_(skyrizi_+_lutikizumab),pharmaceutical,ABBV-166 (SKYRIZI + Lutikizumab),Immunology,Biologic,IL-23 + IL-1a / 1b,"Biologic,Immunology,Pharmaceutical,IL-23 + IL-1a / 1b",Psoriatic Arthritis,Skyrizi (risankizumab) (ABBV-066) is an anti-IL-23 antibody. Lutikizumab (ABT-981) is an IL-1a/1b antagonist. Risankizumab + lutikizumab (ABBV-166) are being investigated as a combination therapy for the treatment of Crohn's disease and psoriatic arthritis.,Phase 2,Psoriatic Arthritis,N / A,phase2,phase2
abbv-243,pharmaceutical,ABBV-243,Immunology,Biologic,Integrin β7 (α4β7 and αEβ7),"Integrin β7 (α4β7 and αEβ7),Biologic,Immunology,Pharmaceutical",Inflammatory Bowel Disease (IBD),"ABBV-243 is an integrin β7 antibody,targeting both integrins α4β7 and αEβ7. It is being investigated for the treatment of inflammatory bowel diseases.",Phase 1,Inflammatory Bowel Disease (IBD),N / A,phase1,phase1
abbv-319,pharmaceutical,ABBV-319,Immunology,Biologic,CD19,"Biologic,Immunology,Pharmaceutical,CD19","Systemic Lupus Erythematosus (SLE),Sjogren's disease",ABBV-319 is a steroid-based ADC targeting CD19 being investigated for treatment of systemic lupus erythematosus (SLE) and Sjogren's disease (SjD).,Phase 1,Sjogren's disease,N / A,phase1,phase1
abbv-319,pharmaceutical,ABBV-319,Immunology,Biologic,CD19,"Biologic,Immunology,Pharmaceutical,CD19","Systemic Lupus Erythematosus (SLE),Sjogren's disease",ABBV-319 is a steroid-based ADC targeting CD19 being investigated for treatment of systemic lupus erythematosus (SLE) and Sjogren's disease (SjD).,Phase 1,Systemic Lupus Erythematosus (SLE),N / A,phase1,phase1
abbv-466_(skyrizi_+_abbv-382),pharmaceutical,ABBV-466 (SKYRIZI + ABBV-382),Immunology,Biologic,IL-23 + anti-a4b7 mAb,"Biologic,Immunology,IL-23 + anti-a4b7 mAb,Pharmaceutical",Crohn's Disease,Skyrizi (risankizumab) (ABBV-066) is an anti-IL-23 antibody. ABBV-382 is an anti-a4B7 mAb. Risankizumab + ABBV-382 (ABBV-466) are being investigated as a combination therapy for the treatment of Crohn's disease.,Phase 2,Crohn's Disease,N / A,phase2,phase2
abbv-547,pharmaceutical,ABBV-547,Immunology,Biologic,IL-23,"Biologic,Immunology,IL-23,Pharmaceutical",Psoriasis (PsO),ABBV-547 is a next generation anti-IL-23 antibody. ABBV-547 is being investigated as a potential therapy for the treatment of psoriasis.,Phase 1,Psoriasis (PsO),N / A,phase1,phase1
abbv-619,pharmaceutical,ABBV-619,Immunology,Biologic,CD19,"Biologic,Immunology,Pharmaceutical,CD19",Autoimmune diseases,ABBV-619 is a potential first-in-class in vivo targeted lipid nanoparticle (tLNP) anti-CD19 CAR-T therapy candidate in development for the treatment of B cell-mediated autoimmune diseases.,Phase 1,Autoimmune diseases,N / A,phase1,phase1
abbv-701,pharmaceutical,ABBV-701,Immunology,Biologic,TL1A,"Biologic,Immunology,TL1A,Pharmaceutical",Inflammatory Bowel Disease,ABBV-701 is an anti-TL1a antibody that is being investigated for the treatment of inflammatory bowel disease.,Phase 1,Inflammatory Bowel Disease,N / A,phase1,phase1
abbv-722,pharmaceutical,ABBV-722,Immunology,Small Molecule,LPAR1,"Immunology,Small Molecule,Pharmaceutical,LPAR1","Idiopathic Pulmonary Fibrosis,Systemic Sclerosis","ABBV-722 is a lysophosphatidic acid receptor 1 (LPAR1) small molecule antagonist being investigated for the treatment of systemic sclerosis (SSc) and idiopathic pulmonary fibrosis (IPF). LPAR1 contributes to the underlying pathology of fibrotic diseases and amplifies inflammation and fibrosis in the lungs, among other tissues. Inhibition of LPAR1 may address SSc and IPF pathogenesis.",Phase 1,Idiopathic Pulmonary Fibrosis,N / A,phase1,phase1
abbv-722,pharmaceutical,ABBV-722,Immunology,Small Molecule,LPAR1,"Immunology,Small Molecule,Pharmaceutical,LPAR1","Idiopathic Pulmonary Fibrosis,Systemic Sclerosis","ABBV-722 is a lysophosphatidic acid receptor 1 (LPAR1) small molecule antagonist being investigated for the treatment of systemic sclerosis (SSc) and idiopathic pulmonary fibrosis (IPF). LPAR1 contributes to the underlying pathology of fibrotic diseases and amplifies inflammation and fibrosis in the lungs, among other tissues. Inhibition of LPAR1 may address SSc and IPF pathogenesis.",Phase 1,Systemic Sclerosis,N / A,phase1,phase1
abbv-848,pharmaceutical,ABBV-848,Immunology,Small Molecule,IRAK4,"Immunology,Small Molecule,Pharmaceutical,IRAK4",Rheumatoid Arthritis (RA),"ABBV-848 is a small molecule inhibitor of IRAK4 (Interleukin-1 receptor-associated kinase 4) being investigated for the treatment of rheumatoid arthritis (RA). AbbVie holds exclusive rights from Createrna to develop, manufacture, and commercialize ABBV-848 outside of China.",Phase 1,Rheumatoid Arthritis (RA),N / A,phase1,phase1
abbv-8736,pharmaceutical,ABBV-8736,Immunology,Biologic,TREM1,"Biologic,Immunology,Pharmaceutical,TREM1",Crohn's Disease (CD),"ABBV-8736 is an anti-Triggering Receptor Expressed on Myeloid Cells 1 (TREM1) antibody being investigated for treatment of inflammatory bowel disease (IBD). TREM1 has been identified as a key disease driver gene in IBD, upstream of known inflammatory pathways.",Phase 2,Crohn's Disease (CD),N / A,phase2,phase2
abbv-9832_(lutikizumab_+_ravagalimab),pharmaceutical,ABBV-9832 (Lutikizumab + Ravagalimab),Immunology,Biologic,IL-1a / 1b + CD40 antagonist,"Biologic,Immunology,IL-1a / 1b + CD40 antagonist,Pharmaceutical",Rheumatoid Arthritis (RA),Lutikizumab (ABT-981) is an IL-1a/1b antagonist. Ravagalimab is a CD40 antagonist. Lutikizumab + ravagalimab (ABBV-9832) are being investigated as a combination therapy for the treatment of rheumatoid arthritis.,Phase 2,Rheumatoid Arthritis (RA),N / A,phase2,phase2
lutikizumab,pharmaceutical,Lutikizumab,Immunology,Biologic,IL-1a / 1b,"Biologic,Immunology,Pharmaceutical,IL-1a / 1b",Hidradenitis Suppurativa,"Lutikizumab (ABT-981) is an IL-1a/1b antagonist being investigated for the treatment of hidradenitis suppurativa (HS), ulcerative colitis (UC), and atopic dermatitis (AD).",Phase 3,Hidradenitis Suppurativa,N / A,phase3,phase3
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Alopecia Areata,"US , EU",submitted,submitted
